,t_stat,p_val
"[2,200]",0.8681496930321275,0.38537873458435223
"[2,201]",0.7161754808575269,0.4739362582625586
"[2,202]",0.47968011764574753,0.6314882760051344
"[2,203]",5.845142160129111,5.580343008198033e-09
"[2,204]",7.068721001789959,1.9185407927660564e-12
"[2,205]",3.5072811344411785,0.00045905809936604706
"[2,206]",1.7083801881022864,0.0876646534907403
"[2,207]",-1.1837346378283473,0.23660772716203532
"[2,208]",-0.53094226297038,0.5954963401986614
"[2,209]",0.001300466771234056,0.9989624605438936
"[2,210]",0.5663678184445278,0.5711842429111293
"[2,211]",4.781558379182206,1.8194517299160333e-06
"[2,212]",4.0335043484658515,5.6259628338933155e-05
"[2,213]",-0.254048301290338,0.7994748767957511
"[2,214]",-1.6996439341679743,0.08929696436318982
"[2,215]",1.9905745961079981,0.046614224145434674
"[2,216]",2.4593057495259294,0.0139741556728223
"[2,217]",-1.6064764858932463,0.10826980615123559
"[2,218]",-1.5199999979740169,0.12861165807328276
"[2,219]",-2.989871241970277,0.0028126126756048545
"[2,220]",0.1732775203453559,0.8624444612780104
"[2,221]",-0.618719670364027,0.5361459297519159
"[2,222]",-1.295705044031206,0.19517236104928143
"[2,223]",5.617996569049765,2.100543195018539e-08
"[2,224]",3.696434404503851,0.00022238482292243446
"[2,225]",-1.4914939009813957,0.13593232307756434
"[2,226]",-2.3145831940849733,0.020699960501740722
"[2,227]",-2.5876037983832365,0.00970912736472058
"[2,228]",-6.143399736536712,9.09279250741338e-10
"[2,229]",1.5821340733992015,0.11371967833475514
"[2,230]",0.5404571132030833,0.5889201611511466
"[2,231]",6.76927507451069,1.538348715958099e-11
"[2,232]",6.082312941060488,1.3275318124978363e-09
"[2,233]",0.3604866593154972,0.7185074784915724
"[2,234]",-6.561440955488945,6.209923376578141e-11
"[2,235]",-1.1105336702967554,0.2668541599144772
"[2,236]",-3.662458201940105,0.0002539287290212471
"[2,237]",5.595768672656075,2.3852300228318257e-08
"[2,238]",-3.377071826953283,0.0007415359438404187
"[2,239]",-1.6380091158973908,0.10151998605595873
"[2,240]",-1.3171561951585244,0.1878823828194345
"[2,241]",2.79303036343365,0.005253317452067462
"[2,242]",7.5805718149883035,4.5011110295854594e-14
"[2,243]",7.588760783838484,4.23043774404434e-14
"[2,244]",1.3674557058716033,0.1715803819914831
"[2,245]",-4.702082637774946,2.6861803760607142e-06
"[2,246]",-2.687249934398701,0.007242288013307352
"[3,4]",-1.5445712580625142,0.1225507736314445
"[3,5]",-2.661891564522338,0.007809891563935569
"[3,6]",-2.4401578957376175,0.01473579046770836
"[3,7]",-1.3597670415452514,0.1740012820749113
"[3,8]",-1.6365215385476546,0.10183069592112941
"[3,9]",-0.6447464153349248,0.5191386316287695
"[3,10]",-2.377872553582664,0.017472365083088106
"[3,11]",-0.9061872052783049,0.3649063039859055
"[3,12]",1.1446156964564733,0.25245562771602925
"[3,13]",-1.7949412378979825,0.07275920258673273
"[3,14]",-0.630818043196102,0.5282054142690427
"[3,15]",0.9793389767836609,0.327487964618403
"[3,16]",-0.23962385708287992,0.8106375084116832
"[3,17]",1.455111899384985,0.14573824517345982
"[3,18]",3.7012654145150194,0.00021821074741179284
"[3,19]",1.4657719992642737,0.14281053865777996
"[3,20]",2.296669207718593,0.021703179568334927
"[3,21]",0.42677658301830124,0.6695713223471247
"[3,22]",1.5947156070177704,0.11087648606344173
"[3,23]",-3.2838674001828156,0.0010351604505260774
"[3,24]",0.46648706939628,0.6408992622016654
"[3,25]",0.43300211270179245,0.6650429747316358
